name,male,female
James,5164280,23399
Julie,1524,508338
Letitia,0,11391
Madeline,245,187472
Malissa,0,8826
Mariah,183,108579
Pattie,5,9503
Vivian,2570,207837
Almeda,0,4402
Aurelia,0,13341
Claire,2198,186762
Dolly,44,19907
Hazel,2712,260372
Jannie,28,14789
Kathleen,1691,711909
Kathrine,0,15650
Lavinia,0,5125
Marietta,0,14808
Melvina,0,6629
Ona,92,7743
Pinkie,11,3881
Samantha,1204,574614
Susanna,0,18763
Chloe,323,210125
Donnie,60301,7126
Elsa,21,28781
Gladys,1023,266287
Matie,0,579
Pearle,0,2820
Vesta,27,8140
Vinnie,738,3087
Antoinette,68,78290
Clementine,0,9771
Edythe,0,13825
Harriette,0,8686
Libbie,0,2441
Lilian,0,16899
Lue,689,6474
Lutie,0,735
Magdalena,10,17700
Meda,0,1882
Rita,778,283228
Tena,0,8117
Zelma,112,16728
Adelia,0,5129
Annetta,0,8764
Antonia,2617,32732
Dona,175,18841
Elizebeth,0,4593
Georgianna,0,9088
Gracie,45,74828
Iona,5,11798
Lessie,944,14065
Leta,0,11848
Liza,14,16770
Mertie,0,1830
Molly,360,165107
Neva,6,20797
Oma,181,9593
Alida,0,4464
Alva,11212,8679
Cecile,191,20268
Cleo,11394,30682
Donna,2233,830845
Ellie,1142,64422
Ernestine,159,44012
Evie,92,14169
Frankie,40753,33572
Helene,0,33082
Minna,0,2938
Myrta,0,956
Prudence,0,5653
Queen,31,14859
Rilla,0,2584
Savannah,212,169654
Tessie,10,9917
Tina,905,291566
Agatha,0,8695
America,16,12705
Anita,684,214013
Arminta,0,776
Dorothea,6,33906
Ira,53468,5912
Luvenia,0,3932
Marjorie,594,272450
Maybelle,0,6043
Mellie,0,2105
Nan,0,10267
Pearlie,695,18122
Sidney,83110,23784
Velma,450,86625
Clare,3052,29369
Constance,419,139092
Dixie,752,43209
Ila,60,22399
Iola,0,9599
Jimmie,111927,22967
Louvenia,0,3625
Lucia,91,43344
Ludie,270,2687
Luna,46,33656
Metta,0,1098
Patsy,7713,119311
Phebe,0,2760
Sophronia,0,1506
Adda,0,946
Avis,800,17149
Betsy,10,48388
Bonnie,4032,324421
Cecil,106194,7682
Cordie,167,2064
Emmaline,0,5824
Ethelyn,0,4450
Hortense,0,6313
June,3254,193399
Louie,28207,2200
Lovie,627,5771
Marcella,222,63899
Melinda,338,135146
Mona,31,45140
Odessa,154,17634
Veronica,835,218247
Aimee,78,53589
Annabel,0,13911
Ava,302,265818
Bella,40,61989
Carolina,137,42986
Cathrine,0,7703
Christena,0,2834
Clyde,142494,3932
Dena,56,32250
Dolores,1336,211012
Eleanore,0,17885
Elmira,0,4297
Fay,4118,31784
Frank,911169,4611
Jenny,605,90940
Kizzie,0,1741
Lonnie,93825,6873
Loula,0,616
Magdalene,0,9113
Mettie,0,1030
Mintie,0,446
Peggy,798,292610
Reba,60,35286
Serena,16,41624
Vida,38,10859
Zada,0,2916
Abigail,640,366323
Celestine,232,9590
Celina,6,14583
Claudie,2978,3739
Clemmie,972,2631
Connie,6956,266402
Daisie,0,1044
Deborah,1659,740705
Dessa,0,1721
Easter,66,5513
Eddie,209714,15695
Emelia,0,9784
Emmie,0,7414
Imogene,55,27440
India,27,22423
Jeanne,361,162980
Joan,6326,480039
Lenore,6,22437
Liddie,0,1281
Lotta,0,499
Mame,0,582
Nevada,654,2934
Rachael,181,82093
Robert,4820129,20099
Sina,456,1640
Willa,24,27158
Aline,5,14404
Beryl,2339,10076
Charles,2392779,12418
Daisey,0,2389
Dorcas,0,7073
Edmonia,0,899
Effa,0,312
Eldora,0,4059
Eloise,111,52732
Emmer,11,2155
Era,34,5609
Gena,0,12799
Henry,689814,4525
Iris,666,81781
Izora,0,1136
Lennie,2858,4557
Lissie,0,934
Mallie,407,3118
Malvina,0,1680
Mathilde,0,1640
Mazie,0,8201
Queenie,0,3780
Rosina,0,5377
Salome,673,3576
Theodora,49,10097
Therese,5,35129
Vena,0,2777
Wanda,972,281046
Wilda,15,12752
Altha,21,3365
Anastasia,23,44543
Besse,0,671
Bird,109,121
Birtie,0,946
Clarissa,21,38655
Claude,91056,953
Delilah,0,39927
Diana,1286,359205
Emelie,0,2365
Erna,11,9054
Fern,508,36601
Florida,5,3527
Frona,0,873
Hilma,0,2999
Joseph,2613304,10654
Juliet,0,30202
Leonie,0,1786
Lugenia,0,781
Mammie,0,2522
Manda,0,3294
Manerva,0,60
Manie,0,529
Nella,0,3893
Paulina,5,17686
Philomena,0,9318
Rae,909,22013
Selina,0,17995
Sena,152,2765
Theodosia,0,1506
Tommie,34210,17415
Una,0,7721
Vernie,2760,3958
Adela,0,12644
Althea,5,16839
Amalia,0,12718
Amber,979,370581
Angelina,111,118965
Annabelle,10,59603
Anner,17,1037
Arie,2065,3317
Clarice,96,25181
Corda,12,567
Corrie,1263,8284
Dell,3973,2544
Dellar,0,576
Donie,131,956
Doris,3241,461943
Elda,42,8867
Elinor,0,20532
Emeline,0,3141
Emilia,5,35909
Esta,27,4397
Estell,547,4232
Etha,0,1802
Fred,342994,2029
Hope,516,88887
Indiana,934,1396
Ione,0,9907
Jettie,197,3619
Johnnie,101573,48945
Josiephine,0,1061
Kitty,0,11627
Lavina,0,6507
Leda,0,3335
Letta,0,746
Mahala,0,2722
Marcia,284,133038
Margarette,0,6094
Maudie,0,11781
Maye,0,1891
Norah,129,22665
Oda,301,1324
Patty,247,62437
Paula,898,278348
Permelia,0,551
Rosalia,0,7638
Roxanna,7,13025
Sula,0,1351
Vada,162,10726
Winnifred,0,4725
Adline,0,1177
Almira,0,1734
Alvena,0,1601
Arizona,112,2716
Becky,144,86616
Bennie,52340,9733
Bernadette,60,53670
Camille,1347,67052
Cordia,0,1456
Corine,17,14521
Dicie,0,1167
Dove,22,834
Drusilla,0,2883
Elena,98,77781
Elenora,0,3389
Elmina,0,759
Ethyl,0,2395
Evalyn,0,8156
Evelina,0,4813
Faye,518,68509
Huldah,0,850
Idell,38,3425
Inga,0,4018
Irena,0,1998
Jewell,4649,29320
Kattie,0,5570
Lavenia,0,1691
Leslie,112726,267081
Lovina,0,2133
Lulie,0,187
Magnolia,0,10249
Margeret,0,972
Margery,0,15759
Media,0,473
Millicent,0,11011
Nena,0,4838
Ocie,2719,4057
Orilla,0,225
Osie,748,1354
Pansy,0,10953
Ray,202425,5438
Rosia,0,3506
Rowena,0,10257
Shirley,9551,685381
Tabitha,146,58034
Thomas,2311849,8472
Verdie,206,2614
Walter,622099,3633
Zetta,0,2021
Zoa,0,498
Zona,0,4486
Albertina,0,1641
Albina,0,4953
Alyce,0,17221
Amie,40,21360
Angela,2136,664960
Annis,7,2914
Carol,8655,816291
Carra,0,1320
Clarence,302615,1859
Clarinda,0,1325
Delphia,0,4236
Dillie,0,537
Doshie,0,799
Drucilla,0,3553
Etna,0,676
Eugenie,0,3368
Eulalia,0,4474
Eve,0,25384
Felicia,279,90856
Florance,0,1672
Fronie,0,789
Geraldine,748,210522
Gina,399,152276
Glenna,5,25573
Grayce,0,4268
Hedwig,0,3077
Jessica,3577,1046051
Jossie,17,1985
Katheryn,0,14899
Katy,5,20373
Lea,620,31344
Leanna,5,23846
Leitha,0,731
Leone,297,6124
Lidie,0,91
Loma,5,2284
Lular,0,572
Magdalen,0,3169
Maymie,0,1054
Minervia,0,95
Muriel,762,54692
Neppie,0,38
Olie,572,420
Onie,276,1786
Osa,87,653
Otelia,0,1184
Paralee,0,1215
Patience,25,10958
Rella,0,1276
Rillie,0,69
Rosanna,6,14125
Theo,13005,3220
Tilda,0,1923
Tishie,0,312
Tressa,0,6966
Viva,0,3510
Yetta,0,3788
Zena,0,5392
Zola,26,7613
Abby,181,58236
Aileen,5,34853
Alba,108,6155
Alda,10,4959
Alla,10,1157
Alverta,0,2441
Ara,1196,3151
Ardelia,0,1370
Ardella,0,3453
Arrie,318,1752
Arvilla,0,2931
Augustine,13019,3650
Aurora,53,57085
Bama,0,498
Bena,0,600
Byrd,709,253
Calla,0,3461
Camilla,6,23059
Carey,16783,12704
Carlotta,0,6218
Celestia,0,1183
Cherry,135,11380
Cinda,0,4590
Classie,0,1607
Claudine,15,11307
Clemie,5,211
Clifford,187245,2019
Clyda,0,758
Creola,0,1742
Debbie,434,187673
Dee,7249,15831
Dinah,0,10214
Doshia,0,763
Ednah,0,75
Edyth,0,2241
Eleanora,0,6464
Electa,0,1181
Eola,0,740
Erie,1960,1417
Eudora,0,2066
Euphemia,0,675
Evalena,0,1273
Evaline,0,1561
Faith,240,136274
Fidelia,0,711
Freddie,72692,10255
Golda,0,6016
Harry,421344,2017
Helma,0,595
Hermine,0,1534
Hessie,16,1118
Ivah,0,865
Janette,42,31941
Jennette,0,3522
Joella,0,3815
Kathryne,0,5913
Lacy,6467,19732
Lanie,35,4911
Lauretta,0,9633
Leana,0,4447
Leatha,0,6023
Leo,204864,1949
Liller,0,333
Lillis,0,637
Louetta,0,1520
Madie,0,3168
Mai,20,5308
Martina,40,17350
Maryann,52,62218
Melva,30,14149
Mena,161,1362
Mercedes,369,44961
Merle,30454,14717
Mima,0,719
Minda,0,1594
Monica,983,248400
Nealie,17,771
Netta,0,1074
Nolia,0,532
Nonie,0,1350
Odelia,0,2552
Ottilie,0,784
Phyllis,871,322391
Robbie,20926,22290
Sabina,0,7538
Sada,0,1243
Sammie,20687,7597
Suzanne,492,218879
Sybilla,0,174
Thea,5,13038
Tressie,6,5331
Vallie,143,3161
Venie,0,341
Viney,0,376
Wilhelmine,0,519
Winona,0,11063
Zelda,5,13731
Zilpha,0,570
Adelle,0,5217
Adina,0,6285
Adrienne,382,67005
Albertine,0,2196
Alys,0,1224
Ana,591,101797
Araminta,0,270
Arthur,528941,3193
Birtha,0,1973
Bulah,0,3027
Caddie,0,96
Celie,0,496
Charlotta,0,966
Clair,12038,4106
Concepcion,968,5175
Cordella,0,377
Corrine,0,20557
Delila,0,3226
Delphine,33,10143
Dosha,0,384
Edgar,152036,705
Elaine,654,257740
Elisa,137,42693
Ellar,0,511
Elmire,0,213
Elvina,0,2541
Ena,0,3284
Estie,0,279
Etter,0,476
Fronnie,0,213
Genie,173,2700
Georgina,0,15553
Glenn,247741,2136
Gracia,0,1864
Guadalupe,24826,65156
Gwendolyn,333,118621
Hassie,10,1543
Honora,0,1586
Icy,0,1087
Isa,1961,2760
Isadora,0,3533
Jesse,418712,12020
Jewel,5163,40038
Joe,451148,11318
Johannah,0,2947
Juana,88,17564
Judith,1240,452483
Judy,1094,382081
Junie,155,1323
Lavonia,0,1901
Lella,0,864
Lemma,0,262
Letty,0,3643
Linna,0,834
Littie,0,623
Lollie,0,1014
Lorene,113,39225
Louis,396351,2819
Love,834,2810
Lovisa,0,32
Lucina,0,1328
Lynn,52268,181904
Madora,0,357
Mahalia,0,1988
Manervia,0,40
Manuela,35,10474
Margarett,0,4904
Margaretta,0,2534
Margarita,195,39466
Marilla,0,704
Mignon,0,2239
Mozella,0,1823
Natalie,757,352491
Nelia,0,1479
Nolie,7,281
Omie,10,1145
Opal,718,69432
Ossie,1676,2916
Ottie,609,1264
Ottilia,0,536
Parthenia,0,1415
Penelope,26,65643
Pinkey,6,579
Pollie,0,1265
Rennie,994,879
Reta,0,8614
Roena,0,984
Rosalee,0,10854
Roseanna,0,5672
Ruthie,32,20839
Sabra,0,4909
Sannie,0,21
Selena,57,50739
Sibyl,0,4351
Tella,0,54
Tempie,0,1681
Tennessee,270,798
Teressa,0,6464
Texas,395,218
Theda,0,6539
Thelma,1142,225260
Thursa,0,150
Ula,31,1584
Vannie,190,830
Verona,0,4165
Vertie,5,1543
Wilma,754,139802
Edward,1291031,5362
Albert,488248,2559
Samuel,759924,2824
David,3621322,12907
Charlie,169733,24912
Richard,2565301,9531
Andrew,1291279,4900
Daniel,1918752,8181
Ernest,301046,1855
Will,44616,658
Oscar,200800,1070
Lewis,151264,870
Peter,576763,1938
Benjamin,748465,2414
Frederick,261451,1105
Alfred,241906,1292
Sam,124257,1451
Roy,404872,2687
Herbert,227839,1117
Jacob,931472,2254
Tom,139306,614
Elmer,128398,1753
Carl,503060,3192
Howard,345119,1677
Martin,307609,1476
Michael,4362731,21732
Bert,33508,657
Herman,135551,795
Jim,152879,816
Harvey,120960,730
Earl,288611,2248
Eugene,378802,2626
Ralph,412640,1839
Ed,26175,165
Edwin,241283,1192
Ben,83077,467
Charley,23360,8193
Paul,1388499,5845
Isaac,282912,740
Otto,32655,100
Luther,66134,435
Lawrence,457358,2125
Patrick,674579,2829
Guy,89744,470
Oliver,166396,598
Theodore,243603,894
Hugh,81531,354
Alexander,673192,4445
August,45409,4120
Floyd,153869,1377
Homer,60703,367
Jack,693969,2656
Leonard,291416,1412
Horace,54024,202
Philip,339577,1137
Allen,267721,1848
Archie,50455,1259
Stephen,858041,2931
Chester,120782,828
Willis,51939,822
Raymond,773028,3517
Rufus,35884,151
Warren,176760,905
Milton,116951,615
Alex,272489,8942
Julius,78280,410
Bernard,199089,983
Dan,105920,545
Jerry,612660,17312
Calvin,202919,1192
Perry,75006,2979
Dave,63922,114
Anthony,1440846,7069
Amos,33563,64
Dennis,617953,2668
Leroy,199090,1182
Wesley,215986,2530
Alonzo,41722,154
Garfield,5548,0
Franklin,136105,723
Emil,31943,134
Leon,166618,1423
Nathan,549444,1749
Harold,549867,2648
Matthew,1600511,5519
Levi,148284,912
Moses,39161,45
Everett,107287,690
Lester,129916,1359
Winfield,5168,0
Adam,554501,2038
Lloyd,160273,999
Mack,38612,180
Fredrick,63701,259
Jay,189569,2497
Jess,24908,434
Melvin,242760,2139
Noah,393703,2121
Aaron,581330,4307
Alvin,158903,1098
Norman,251970,1603
Gilbert,129006,673
Elijah,294472,1129
Victor,317673,1807
Gus,18904,5
Nelson,77267,406
Jasper,42613,806
Silas,47318,85
Jake,123068,217
Christopher,2029565,9470
Mike,204551,662
Percy,31466,581
Adolph,18719,20
Maurice,134504,2611
Cornelius,35764,642
Felix,70111,596
Reuben,30148,45
Wallace,81580,542
Claud,10893,47
Roscoe,21646,5
Sylvester,42759,623
Earnest,58216,726
Hiram,13750,0
Otis,58217,887
Simon,60129,155
Willard,77354,883
Irvin,39325,75
Mark,1351766,4491
Jose,565042,4175
Wilbur,56672,290
Abraham,91031,208
Virgil,71278,1444
Clinton,96771,433
Elbert,33453,97
Marshall,91352,1132
Owen,187306,475
Wiley,17165,224
Anton,22904,21
Morris,70338,484
Manuel,184429,1153
Phillip,307971,1332
Augustus,16934,10
Emmett,55537,158
Eli,121334,772
Nicholas,900283,3123
Wilson,45977,198
Harley,38921,24299
Newton,7997,5
Timothy,1070925,4326
Marvin,251026,1610
Ross,80917,410
Curtis,258397,2322
Edmund,50889,60
Jeff,119964,263
Elias,80837,179
Harrison,77243,253
Stanley,299175,1438
Columbus,7505,0
Lon,9816,20
Russell,353651,1696
Solomon,32814,11
Arch,2429,0
Asa,16853,1317
Clayton,131091,584
Enoch,10798,0
Irving,43662,85
Mathew,75453,207
Nathaniel,267740,1148
Scott,771601,2610
Hubert,57357,189
Lemuel,9479,0
Andy,89375,1075
Ellis,42375,4333
Emanuel,50191,93
Joshua,1210013,4915
Millard,16716,33
Vernon,145573,1976
Wade,69653,163
Cyrus,21804,16
Miles,82002,239
Rudolph,53223,197
Sherman,38995,203
Austin,412329,4679
Bill,160315,716
Chas,3205,10
Monroe,16083,3273
Byron,80202,303
Edd,5437,13
Emery,18082,22379
Grant,124660,202
Jerome,159909,1061
Max,150976,754
Mose,7757,55
Steve,240391,906
Gordon,153282,670
Abe,9240,0
Pete,43166,170
Chris,144571,22908
Clark,45447,212
Gustave,5363,0
Orville,34965,155
Lorenzo,66041,307
Bruce,382879,1397
Marcus,230919,1337
Preston,113238,677
Bob,92929,322
Dock,5372,0
Donald,1411600,5563
Jackson,239362,638
Barney,16066,91
Delbert,46798,122
Edmond,24412,7
Anderson,26971,885
Christian,421512,19557
Jefferson,22049,0
Luke,270240,519
Neal,54341,257
Burt,6554,0
Ike,6951,0
Myron,44675,463
Tony,248980,2884
Conrad,35170,16
Joel,267019,2558
Matt,23630,5
Riley,94278,106901
Vincent,341193,1391
Emory,16982,5423
Isaiah,214387,625
Nick,49506,132
Ezra,52318,2325
Green,2033,0
Juan,347717,2732
Clifton,69578,436
Lucius,9030,0
Porter,16588,520
Arnold,103074,550
Bud,9436,0
Jeremiah,196147,661
Taylor,110390,320446
Forrest,48471,969
Roland,97627,362
Spencer,117091,4043
Burton,22301,48
Don,166945,1207
Emmet,6043,0
Gustav,4020,0
Morgan,42308,214230
Ned,17213,5
Van,27656,1693
Ambrose,8565,0
Chauncey,9435,508
Elisha,13595,13762
Ferdinand,8745,0
General,3969,0
Julian,211674,3118
Kenneth,1274359,5332
Mitchell,161932,1128
Josh,16608,0
Judson,12046,0
Lyman,8510,0
Napoleon,7703,5
Pedro,88819,499
Berry,5678,353
Dewitt,7173,0
Ervin,38261,138
Forest,15449,477
Pink,1089,38
Ruben,111954,655
Sanford,14942,0
Ward,14724,52
Douglas,557703,2075
Ole,1975,0
Omer,8360,61
Ulysses,17395,25
Walker,25015,334
Wilbert,39862,178
Adelbert,2373,0
Benjiman,4212,0
Ivan,133264,642
Jonas,24495,28
Major,16837,47
Abner,7846,0
Archibald,3061,0
Caleb,283758,595
Clint,32098,54
Dudley,11808,120
Granville,5485,0
King,26225,24
Merton,4246,0
Antonio,247925,1975
Carroll,35401,5910
Freeman,10763,5
Josiah,107195,375
Milo,23612,232
Royal,14713,2379
Dick,29269,48
Earle,11504,285
Elza,2111,744
Emerson,24472,20904
Fletcher,14241,139
Judge,3509,0
Laurence,39241,460
Roger,439635,1689
Seth,161357,495
Glen,125215,1348
Hugo,32180,30
Neil,102552,385
Washington,2590,0
Elwood,20425,53
Gust,1870,0
Harmon,6465,21
Jordan,374513,131004
Simeon,8150,25
Wayne,352326,1604
Wilber,6674,11
Clem,4274,54
Evan,266614,4212
Frederic,14162,0
Irwin,15842,12
Junius,5327,0
Lafayette,4786,21
Loren,46099,12299
Madison,7661,380781
Mason,283409,2902
Orval,7915,12
Abram,17090,0
Aubrey,30204,111528
Elliott,46513,4410
Hans,14745,5
Karl,100025,915
Minor,1728,12
Wash,1196,0
Wilfred,29226,103
Allan,94493,253
Alphonse,10238,0
Dallas,61697,12635
Isiah,23727,11
Jason,1032735,5011
Johnny,312531,3732
Lawson,12717,370
Lew,2170,15
Micheal,153599,1836
Orin,5723,11
Addison,12895,121435
Cal,5512,10
Erastus,407,0
Francisco,134088,954
Hardy,5473,10
Lucien,8488,5
Randolph,49268,112
Stewart,31012,85
Vern,11462,485
Wilmer,15284,743
Zack,8028,0
Adrian,237044,15258
Alvah,1796,72
Bertram,7893,0
Clay,37000,263
Ephraim,6659,0
Fritz,6307,0
Giles,4612,0
Grover,26936,92
Harris,15183,134
Isom,1740,0
Jesus,228383,2659
Johnie,20881,5131
Jonathan,839678,3538
Lucian,10702,32
Malcolm,62065,119
Merritt,5539,1995
Otho,3328,0
Perley,1020,32
Rolla,1306,65
Sandy,10390,68618
Tomas,28117,27
Wilford,10402,5
Adolphus,4103,0
Angus,6242,0
Arther,4974,47
Carlos,288859,2031
Cary,24286,5317
Cassius,5891,7
Davis,28772,863
Hamilton,6103,0
Harve,554,0
Israel,61116,1254
Leander,6201,28
Melville,2269,14
Murray,21561,326
Pleasant,629,73
Sterling,31666,2514
Steven,1282486,4465
Axel,41406,137
Boyd,27052,65
Bryant,49935,232
Clement,13767,6
Erwin,20832,49
Ezekiel,45387,21
Foster,11537,157
Geo,1008,16
Houston,15393,311
Issac,21983,17
Jules,8607,1459
Larkin,2203,1584
Mat,790,0
Morton,12323,5
Orlando,47259,242
Pierce,16272,220
Prince,17027,550
Rollie,3494,24
Rollin,5645,0
Sim,1933,0
Stuart,68522,314
Wilburn,10317,15
Bennett,41485,1201
Casper,4781,0
Christ,3776,52
Egbert,1231,0
Elmo,10080,247
Gabriel,346093,6701
Hector,102542,481
Horatio,1385,0
Lige,1280,0
Saul,39580,74
Smith,4602,131
Squire,511,0
Tobe,933,29
Wyatt,156597,591
Alford,4784,5
Alton,46679,376
Andres,83854,444
Burl,7167,19
Cicero,1433,0
Dean,176157,2885
Dorsey,5411,817
Enos,3648,0
Howell,3851,0
Loyd,22396,86
Mahlon,5280,12
Nat,2157,0
Omar,96794,456
Oran,4317,0
Parker,104503,16545
Raleigh,8770,2162
Reginald,110145,757
Rubin,6934,16
Seymour,13068,10
Wm,2651,86
Young,2219,532
Benjamine,1805,0
Carlton,48520,277
Eldridge,5180,0
Elzie,3848,601
Garrett,130766,452
Isham,608,0
Johnson,6686,22
Larry,805727,3560
Logan,332939,25502
Merrill,12927,2024
Mont,884,0
Oren,8493,35
Pierre,17832,74
Rex,57900,140
Rodney,245568,1175
Ted,74859,264
Webster,4383,0
West,2900,0
Wheeler,1675,5
Willam,3496,0
Al,16992,255
Aloysius,5590,0
Alvie,4033,596
Art,5945,5
Bailey,20836,99004
Benjaman,2019,0
Beverly,4633,377088
